step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
232,0.00258,1.0,,
233,0.0096,1.0,,
234,0.33452,0.93333,,
235,0.33544,0.93333,,
236,1.36703,0.86667,,
237,0.9633,0.86667,,
238,0.00769,1.0,,
239,0.50034,0.93333,,
240,0.00117,1.0,,
241,0.00371,1.0,,
242,1.31311,0.8,,
243,0.78356,0.93333,,
244,0.1558,0.93333,,
245,0.48356,0.93333,,
246,0.13531,0.93333,,
247,0.00015,1.0,,
248,0.00015,1.0,,
249,1.60063,0.8,,
250,0.00324,1.0,,
251,0.85225,0.86667,,
252,1.15026,0.86667,,
253,0.47047,0.93333,,
254,0.41919,0.93333,,
255,0.60797,0.86667,,
256,0.00027,1.0,,
257,0.00031,1.0,,
258,0.90666,0.86667,,
259,1.60031,0.8,,
260,1.1342,0.86667,,
261,1.00886,0.8,,
262,0.91724,0.8,,
263,1.02987,0.86667,,
264,1.33719,0.73333,,
265,0.00139,1.0,,
266,0.00748,1.0,,
267,0.5315,0.93333,,
268,0.00085,1.0,,
269,0.50288,0.93333,,
270,0.00766,1.0,,
271,0.00112,1.0,,
272,0.50049,0.93333,,
273,0.00192,1.0,,
274,0.20569,0.93333,,
275,0.00043,1.0,,
276,1.06691,0.86667,,
277,0.02132,1.0,,
278,0.00448,1.0,,
279,0.70019,0.93333,,
280,0.57109,0.93333,,
281,0.00329,1.0,,
282,0.00019,1.0,,
283,0.90116,0.86667,,
284,0.95551,0.93333,,
285,0.00562,1.0,,
286,0.16489,0.93333,,
287,0.90301,0.86667,,
288,1.46709,0.8,,
289,0.54099,0.86667,,
290,0.2858,0.93333,,
291,0.54433,0.93333,,
292,0.00037,1.0,,
293,0.00118,1.0,,
294,0.57851,0.93333,,
295,0.01368,1.0,,
296,1.21073,0.8,,
297,0.076,0.93333,,
298,0.00033,1.0,,
299,0.41348,0.93333,,
300,0.48851,0.93333,,
301,0.65885,0.86667,,
302,0.56726,0.93333,,
303,0.00104,1.0,,
304,0.0006,1.0,,
305,1.18811,0.86667,,
306,0.44047,0.93333,,
307,0.55019,0.93333,,
308,0.12055,0.93333,,
309,0.63388,0.93333,,
310,0.46755,0.93333,,
311,0.23561,0.93333,,
312,0.90244,0.93333,,
313,0.00092,1.0,,
314,1.4505,0.8,,
315,1.33416,0.8,,
316,0.46257,0.93333,,
317,0.62105,0.93333,,
318,0.43455,0.93333,,
319,0.27206,0.86667,,
320,0.0542,1.0,,
321,0.17312,0.93333,,
322,0.00023,1.0,,
323,0.00029,1.0,,
324,0.63474,0.93333,,
325,0.38452,0.93333,,
326,0.00112,1.0,,
327,0.85639,0.86667,,
328,0.10264,0.93333,,
329,0.17657,0.93333,,
330,0.00032,1.0,,
331,0.01829,1.0,,
332,0.30395,0.93333,,
333,0.45063,0.93333,,
334,0.00258,1.0,,
335,0.2511,0.93333,,
336,0.5085,0.86667,,
337,0.43475,0.93333,,
338,0.50502,0.93333,,
339,0.0029,1.0,,
340,0.51728,0.93333,,
341,0.20484,0.93333,,
342,0.28948,0.93333,,
343,0.70705,0.86667,,
344,1.0511,0.86667,,
345,0.52607,0.93333,,
346,0.80255,0.86667,,
347,1.01775,0.86667,,
348,0.00266,1.0,,
349,0.00098,1.0,,
350,0.7362,0.86667,,
