step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
233,0.7948,0.88889,,
234,0.58497,0.88889,,
235,1.30676,0.77778,,
236,1.33406,0.77778,,
237,0.00488,1.0,,
238,0.80683,0.88889,,
239,0.0017,1.0,,
240,0.00035,1.0,,
241,0.00194,1.0,,
242,0.63958,0.88889,,
243,0.69582,0.88889,,
244,0.77916,0.88889,,
245,1.55095,0.66667,,
246,0.1473,0.88889,,
247,0.69484,0.88889,,
248,0.01655,1.0,,
249,0.00042,1.0,,
250,0.0006,1.0,,
251,0.94671,0.88889,,
252,0.00024,1.0,,
253,0.0117,1.0,,
254,0.69602,0.88889,,
255,0.85855,0.77778,,
256,0.00393,1.0,,
257,0.55786,0.88889,,
258,0.0009,1.0,,
259,0.47659,0.88889,,
260,0.53477,0.88889,,
261,0.00573,1.0,,
262,0.47873,0.88889,,
263,0.00021,1.0,,
264,0.52998,0.88889,,
265,0.00048,1.0,,
266,0.67406,0.88889,,
267,0.61501,0.88889,,
268,0.00187,1.0,,
269,0.64106,0.88889,,
270,0.00107,1.0,,
271,0.00389,1.0,,
272,0.72365,0.88889,,
273,0.00106,1.0,,
274,0.64167,0.88889,,
275,0.00105,1.0,,
276,0.00514,1.0,,
277,0.45251,0.88889,,
278,1.4063,0.66667,,
279,0.01357,1.0,,
280,0.00393,1.0,,
281,0.02296,1.0,,
282,0.25341,0.88889,,
283,0.73093,0.77778,,
284,0.02006,1.0,,
285,0.12974,0.88889,,
286,0.00674,1.0,,
287,0.00985,1.0,,
288,0.00666,1.0,,
289,0.58721,0.88889,,
290,0.14785,0.88889,,
291,0.00207,1.0,,
292,0.00618,1.0,,
293,0.00186,1.0,,
294,0.13179,0.88889,,
295,0.89579,0.77778,,
296,0.00772,1.0,,
297,1.08545,0.77778,,
298,0.39384,0.88889,,
299,0.00362,1.0,,
300,0.02771,1.0,,
301,0.28764,0.88889,,
302,0.69596,0.88889,,
303,0.88436,0.77778,,
304,0.97654,0.77778,,
305,0.19115,0.88889,,
306,0.00563,1.0,,
307,0.26337,0.88889,,
308,0.00201,1.0,,
309,0.00246,1.0,,
310,0.63978,0.88889,,
311,0.0108,1.0,,
312,0.07887,1.0,,
313,0.72404,0.88889,,
314,0.00916,1.0,,
315,0.00145,1.0,,
316,0.06515,1.0,,
317,0.34104,0.88889,,
318,0.51154,0.88889,,
319,0.05872,1.0,,
320,0.11135,0.88889,,
321,0.77786,0.77778,,
322,0.59608,0.88889,,
323,0.39544,0.88889,,
324,0.00338,1.0,,
325,0.01067,1.0,,
326,0.01579,1.0,,
327,0.01511,1.0,,
328,0.01412,1.0,,
329,0.00809,1.0,,
330,0.00569,1.0,,
331,0.77286,0.77778,,
332,0.44777,0.88889,,
333,0.00165,1.0,,
334,0.00419,1.0,,
335,0.00396,1.0,,
336,0.00207,1.0,,
337,0.53222,0.88889,,
338,0.00198,1.0,,
339,0.01018,1.0,,
340,0.0135,1.0,,
341,0.24098,0.88889,,
342,0.21332,0.88889,,
343,0.60519,0.88889,,
344,0.13455,0.88889,,
345,0.97826,0.77778,,
346,0.63602,0.88889,,
347,0.42044,0.88889,,
348,0.64238,0.88889,,
349,0.01476,1.0,,
350,0.10951,0.88889,,
351,0.50518,0.88889,,
352,0.55907,0.88889,,
353,0.56584,0.77778,,
354,0.00286,1.0,,
355,0.8175,0.88889,,
356,0.33098,0.88889,,
357,0.7765,0.77778,,
358,0.00132,1.0,,
359,0.6693,0.88889,,
360,0.89921,0.77778,,
361,0.015,1.0,,
362,1.31438,0.66667,,
363,0.00678,1.0,,
364,0.00285,1.0,,
365,0.78699,0.77778,,
366,0.56444,0.88889,,
367,0.56361,0.88889,,
368,0.97306,0.77778,,
369,0.47746,0.88889,,
370,0.26503,0.88889,,
371,1.05983,0.77778,,
372,0.02777,1.0,,
373,0.39704,0.88889,,
374,0.00894,1.0,,
375,0.36906,0.88889,,
376,0.01472,1.0,,
377,0.00773,1.0,,
378,0.08205,1.0,,
379,0.10422,0.88889,,
380,0.46082,0.88889,,
381,0.02271,1.0,,
382,0.34373,0.88889,,
383,0.0081,1.0,,
384,0.89461,0.77778,,
385,0.00556,1.0,,
386,0.00764,1.0,,
387,0.5609,0.88889,,
388,0.00523,1.0,,
389,0.00325,1.0,,
390,0.02412,1.0,,
391,0.01112,1.0,,
392,0.0413,1.0,,
393,0.50474,0.88889,,
394,0.00737,1.0,,
395,0.14012,0.88889,,
396,0.0605,1.0,,
397,0.09412,0.88889,,
398,0.01231,1.0,,
399,0.54122,0.88889,,
400,0.01362,1.0,,
401,0.20587,0.88889,,
402,0.42684,0.88889,,
403,0.0126,1.0,,
404,0.64967,0.88889,,
405,0.00825,1.0,,
406,0.48346,0.88889,,
407,0.65913,0.77778,,
408,0.01586,1.0,,
409,0.01059,1.0,,
410,0.31273,0.88889,,
411,0.5668,0.88889,,
412,0.06598,1.0,,
413,0.01282,1.0,,
414,0.50377,0.88889,,
415,0.10273,0.88889,,
416,0.82648,0.66667,,
417,0.4284,0.88889,,
418,0.06469,1.0,,
419,0.00606,1.0,,
420,0.06876,1.0,,
421,0.00319,1.0,,
422,0.00899,1.0,,
423,0.01514,1.0,,
424,0.01371,1.0,,
425,0.00402,1.0,,
426,0.00901,1.0,,
427,0.16022,0.88889,,
428,0.01357,1.0,,
429,0.00851,1.0,,
430,0.48475,0.88889,,
431,0.00608,1.0,,
432,0.4366,0.77778,,
433,0.0042,1.0,,
434,0.47934,0.88889,,
435,0.00627,1.0,,
436,0.23779,0.88889,,
437,0.01107,1.0,,
